QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:07:26, Windows 10 Version 2009, 10.0.19042, x86_64,,,,,,,
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
27081,-1.36895,0,-0.0686078,0.53,1.07992,-2.10024,-2.10374,0.215637,-0.215696,2.79E-05,-0.000705495,0.0003635
27090,-1.08271,0,-0.0686012,0.54,1.05888,-2.45437,-2.10374,0.215637,-0.215699,2.79E-05,-0.000745282,0.0003635
27101,-1.31688,0,-0.0686006,0.55,1.03434,-2.10024,-2.45086,0.215637,-0.2157,2.79E-05,-0.000748545,0.0003635
27111,-1.31127,0,-0.0686006,0.56,1.0133,-2.10374,-2.10374,0.215637,-0.2157,2.79E-05,-0.000748828,0.0003635
27121,-0.954542,0,-0.0654751,0.57,0.992266,-2.45086,-2.10374,0.217343,-0.217262,2.79E-05,0.000957042,0.0003635
27130,-2.47466,0,-0.119244,0.58,0.971229,-2.10374,-2.10374,0.187855,-0.190378,2.79E-05,-0.0300618,0.0003635
27141,-1.15348,0,-0.0565994,0.59,0.950192,-2.10374,-2.10374,0.22446,-0.2217,2.79E-05,0.0328898,0.0003635
27151,-0.339897,0,-0.0480455,0.6,0.922142,-2.79798,-3.1451,0.226317,-0.225977,2.79E-05,0.00405091,0.0003635
27161,-0.499052,0,-0.050744,0.61,0.894092,-2.46138,-2.46138,0.22446,-0.224628,2.79E-05,-0.00199728,0.0003635
27171,-1.23353,0,-0.0509659,0.62,0.880067,-1.39899,-1.39899,0.22446,-0.224517,2.79E-05,-0.000675052,0.0003635
27181,-1.25019,0,-0.0509841,0.63,0.873054,-1.4025,-0.701248,0.22446,-0.224508,2.79E-05,-0.000566319,0.0003635
27191,-0.98836,0,-0.0509856,0.64,0.855523,-1.75312,-1.75312,0.22446,-0.224507,2.79E-05,-0.000557363,0.0003635
27201,-0.683449,0,-0.0509858,0.65,0.830979,-2.10024,-2.44736,0.22446,-0.224507,2.79E-05,-0.000556633,0.0003635
27211,-0.888521,0,-0.0509858,0.66,0.802929,-1.75312,-2.8085,0.22446,-0.224507,2.79E-05,-0.000556573,0.0003635
27220,-0.522583,0,-0.0370136,0.67,0.788904,-1.75312,-1.4025,0.232086,-0.231493,2.79E-05,0.00706948,0.0003635
27231,-0.606936,0,-0.0322141,0.68,0.778386,-1.39899,-1.04837,0.234079,-0.233893,2.79E-05,0.00221553,0.0003635
27241,-0.627754,0,-0.0354698,0.69,0.771373,-1.4025,-0.701248,0.232086,-0.232265,2.79E-05,-0.00212862,0.0003635
27251,-0.783393,0,-0.0320872,0.7,0.757348,-1.05187,-1.4025,0.234079,-0.233956,2.79E-05,0.00145906,0.0003635
27260,-2.28223,0,-0.0942277,0.71,0.739817,-1.04837,-1.74961,0.20001,-0.202886,2.79E-05,-0.0342668,0.0003635
27271,-0.934491,0,-0.0405699,0.72,0.725792,-1.4025,-1.4025,0.232086,-0.229715,2.79E-05,0.028258,0.0003635
27281,0.033824,0,-0.036157,0.73,0.708261,-2.45086,-1.74961,0.232086,-0.231921,2.79E-05,0.00196572,0.0003635
27291,-0.335507,0,-0.0357941,0.74,0.694236,-1.75663,-1.4025,0.232086,-0.232103,2.79E-05,-0.000196606,0.0003635
27301,-1.094,0,-0.0357642,0.75,0.683717,-0.697742,-1.04837,0.232086,-0.232118,2.79E-05,-0.000374436,0.0003635
27311,-1.42213,0,-0.0357618,0.76,0.673198,-0.350624,-1.05187,0.232086,-0.232119,2.79E-05,-0.000389069,0.0003635
27321,-0.959812,0,-0.0357616,0.77,0.66268,-1.04837,-1.04837,0.232086,-0.232119,2.79E-05,-0.000390261,0.0003635
27331,-0.397823,0,-0.0357616,0.78,0.648655,-1.75663,-1.4025,0.232086,-0.232119,2.79E-05,-0.000390366,0.0003635
27341,-0.312607,0,-0.0357616,0.79,0.63463,-1.75312,-1.4025,0.232086,-0.232119,2.79E-05,-0.000390366,0.0003635
27351,-0.788848,0,-0.0357616,0.8,0.627617,-1.04837,-0.697742,0.232086,-0.232119,2.79E-05,-0.000390366,0.0003635
27361,-0.982667,0,-0.0321112,0.81,0.617099,-0.701248,-1.05187,0.234079,-0.233944,2.79E-05,0.00160202,0.0003635
27371,-1.09944,0,-0.0354613,0.82,0.60658,-0.701248,-1.04837,0.232086,-0.232269,2.79E-05,-0.00217906,0.0003635
27381,-0.87445,0,-0.0357369,0.83,0.596061,-1.05187,-1.05187,0.232086,-0.232132,2.79E-05,-0.000537485,0.0003635
27390,-1.74275,0,-0.0945278,0.84,0.585542,-1.75312,-1.05187,0.20001,-0.202736,2.79E-05,-0.0324785,0.0003635
27401,-1.14445,0,-0.0405946,0.85,0.575024,-1.04837,-1.39899,0.232086,-0.229703,2.79E-05,0.0284051,0.0003635
27411,-0.408396,0,-0.0325086,0.86,0.553986,-1.75312,-1.75312,0.234079,-0.233746,2.79E-05,0.00397021,0.0003635
27421,-0.660813,0,-0.035494,0.87,0.536455,-1.4025,-1.75312,0.232086,-0.232253,2.79E-05,-0.0019843,0.0003635
27430,-0.5435,0,-0.0207325,0.88,0.529442,-1.04837,-0.697742,0.240277,-0.239634,2.79E-05,0.00766946,0.0003635
27441,-0.736813,0,-0.0195184,0.89,0.518924,-0.701248,-1.05187,0.240277,-0.240241,2.79E-05,0.000436306,0.0003635
27451,-0.442339,0,-0.0194186,0.9,0.508405,-1.04837,-1.04837,0.240277,-0.240291,2.79E-05,-0.000158578,0.0003635
27461,-0.381981,0,-0.0194104,0.91,0.497886,-1.04837,-1.04837,0.240277,-0.240295,2.79E-05,-0.000207499,0.0003635
27470,-0.0384702,0,-0.0194097,0.92,0.487368,-1.4025,-1.05187,0.240277,-0.240295,2.79E-05,-0.000211522,0.0003635
27481,-0.492954,0,-0.0194097,0.93,0.480355,-0.701248,-0.701248,0.240277,-0.240295,2.79E-05,-0.00021185,0.0003635
27491,-0.385766,0,-0.0154825,0.94,0.473343,-0.697742,-0.697742,0.242421,-0.242259,2.79E-05,0.00193155,0.0003635
27501,-0.440436,0,-0.0190867,0.95,0.462824,-0.701248,-1.05187,0.240277,-0.240457,2.79E-05,-0.00213616,0.0003635
27511,-0.434357,0,-0.0193831,0.96,0.455811,-0.697742,-0.697742,0.240277,-0.240308,2.79E-05,-0.00037013,0.0003635
27521,-2.22219,0,-0.0822719,0.97,0.452305,-0.350624,-0.350624,0.205966,-0.208864,2.79E-05,-0.0345365,0.0003635
27531,-0.826129,0,-0.0245796,0.98,0.448799,-0.697742,-0.347118,0.240277,-0.23771,2.79E-05,0.0305906,0.0003635
27541,0.222241,0,-0.0159077,0.99,0.431268,-1.75312,-1.75312,0.242421,-0.242046,2.79E-05,0.00446481,0.0003635
27551,0.030084,0,-0.0191216,1,0.413737,-1.4025,-1.75312,0.240277,-0.240439,2.79E-05,-0.00192781,0.0003635
27560,-0.710166,0,-0.019386,1.01,0.41023,-0.350624,-0.350624,0.240277,-0.240307,2.79E-05,-0.000352994,0.0003635
27571,-1.02217,0,-0.0194077,1.02,0.406724,0,-0.350624,0.240277,-0.240296,2.79E-05,-0.000223488,0.0003635
27581,-0.538139,0,-0.0194095,1.03,0.403218,-0.701248,-0.347118,0.240277,-0.240295,2.79E-05,-0.000212833,0.0003635
27591,-0.242853,0,-0.0194096,1.04,0.396205,-1.05187,-0.701248,0.240277,-0.240295,2.79E-05,-0.000211954,0.0003635
27600,-0.185006,0,-0.0194097,1.05,0.385687,-1.04837,-1.04837,0.240277,-0.240295,2.79E-05,-0.000211895,0.0003635
27611,-0.402507,0,-0.0194097,1.06,0.375168,-0.701248,-1.05187,0.240277,-0.240295,2.79E-05,-0.00021188,0.0003635
27621,-0.575818,0,-0.0154825,1.07,0.368155,-0.347118,-0.697742,0.242421,-0.242259,2.79E-05,0.00193155,0.0003635
27631,-0.67635,0,-0.0190867,1.08,0.364649,-0.350624,-0.350624,0.240277,-0.240457,2.79E-05,-0.00213616,0.0003635
27641,-0.432828,0,-0.0193831,1.09,0.361143,-0.701248,-0.350624,0.240277,-0.240308,2.79E-05,-0.00037013,0.0003635
27651,-1.94251,0,-0.0822719,1.1,0.357637,-0.701248,-0.350624,0.205966,-0.208864,2.79E-05,-0.0345365,0.0003635
27661,-0.781084,0,-0.0245796,1.11,0.350624,-0.697742,-0.697742,0.240277,-0.23771,2.79E-05,0.0305906,0.0003635
27671,0.172083,0,-0.0198348,1.12,0.329587,-1.75312,-2.10374,0.240277,-0.240083,2.79E-05,0.00232138,0.0003635
