QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:58:19, Windows 10 Version 2009, 10.0.19042, x86_64,,,,,,,
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
29921,0.379152,0.106977,0.00664097,1.46,0.459318,0,0.350624,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
29931,0.124975,0.359171,0.00664097,1.47,0.459318,0.350624,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
29941,0.17968,0.4547,0.00958782,1.48,0.459318,0.347118,0,0.152471,-0.152397,2.79E-05,0.000876695,0.0003635
29950,-0.948389,-0.861961,-0.0480946,1.49,0.459318,0,0,0.136664,-0.137976,2.79E-05,-0.015637,0.0003635
29961,0.0810043,-0.13971,0.0022313,1.5,0.462824,0,0.347118,0.151666,-0.150558,2.79E-05,0.013209,0.0003635
29971,-0.866847,-0.834052,-0.0486873,1.51,0.459318,-0.347118,-0.347118,0.136664,-0.137828,2.79E-05,-0.0138714,0.0003635
29981,0.15676,-0.118778,-0.0120623,1.52,0.455811,-0.701248,-0.350624,0.147779,-0.146984,2.79E-05,0.00946356,0.0003635
29990,0.0592404,0.283011,-0.00632578,1.53,0.448799,-0.350624,-0.697742,0.148539,-0.148419,2.79E-05,0.00143383,0.0003635
30001,0.0885493,0.0884402,0.00559628,1.54,0.448799,0,0,0.151666,-0.151399,2.79E-05,0.00318451,0.0003635
30011,0.134016,0.13318,0.00655681,1.55,0.448799,0,0,0.151666,-0.151639,2.79E-05,0.000323221,0.0003635
30021,0.161881,0.160985,0.00663418,1.56,0.448799,0,0,0.151666,-0.151659,2.79E-05,9.27E-05,0.0003635
30030,0.188328,0.187428,0.00664043,1.57,0.448799,0,0,0.151666,-0.15166,2.79E-05,7.41E-05,0.0003635
30041,0.144029,0.417069,0.00372738,1.58,0.445293,0,-0.350624,0.150871,-0.150932,2.79E-05,-0.000722498,0.0003635
30051,0.501439,0.5379,0.00640625,1.59,0.445293,-0.347118,-0.347118,0.151666,-0.151602,2.79E-05,0.000771746,0.0003635
30061,0.299772,0.344748,0.00662208,1.6,0.441786,0,0,0.151666,-0.151656,2.79E-05,0.000128821,0.0003635
30070,0.32644,0.0996687,0.00663942,1.61,0.445293,0,0.350624,0.151666,-0.15166,2.79E-05,7.70E-05,0.0003635
30081,-0.979888,-0.939142,-0.0483322,1.62,0.445293,0,0,0.136664,-0.137917,2.79E-05,-0.0149294,0.0003635
30091,0.0538566,0.0563113,0.00221211,1.63,0.445293,0,0,0.151666,-0.150553,2.79E-05,0.013266,0.0003635
30101,0.441841,0.429728,0.00628418,1.64,0.441786,-0.350624,-0.347118,0.151666,-0.151571,2.79E-05,0.00113542,0.0003635
30111,0.517759,0.782194,0.00661224,1.65,0.434774,-0.347118,-0.701248,0.151666,-0.151653,2.79E-05,0.000158116,0.0003635
30120,0.312316,0.0855451,0.00663865,1.66,0.43828,0,0.350624,0.151666,-0.15166,2.79E-05,7.94E-05,0.0003635
30131,0.0609868,0.0687644,0.00664079,1.67,0.441786,0.347118,0.347118,0.151666,-0.15166,2.79E-05,7.30E-05,0.0003635
30141,0.0391034,0.0469685,0.00664091,1.68,0.445293,0.350624,0.350624,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30151,0.300065,0.299164,0.00664097,1.69,0.445293,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30160,0.326387,0.325487,0.00664097,1.7,0.445293,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30171,0.352709,0.351809,0.00664097,1.71,0.445293,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30181,0.379032,0.378131,0.00664097,1.72,0.445293,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30191,0.405354,0.404454,0.00664097,1.73,0.445293,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30200,0.151177,0.430776,0.00664097,1.74,0.445293,0.350624,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30211,-0.863557,-1.05046,-0.0459814,1.75,0.448799,0,0.350624,0.137306,-0.138505,2.79E-05,-0.0142882,0.0003635
30221,0.0564783,0.0609968,-0.000512004,1.76,0.448799,0,0,0.150871,-0.149872,2.79E-05,0.0119067,0.0003635
30231,-0.950547,-0.645606,-0.0535387,1.77,0.441786,-0.350624,-0.697742,0.1354,-0.136615,2.79E-05,-0.0144767,0.0003635
30241,0.504972,0.263883,0.00179267,1.78,0.43828,-0.701248,-0.350624,0.151666,-0.150448,2.79E-05,0.0145156,0.0003635
30251,0.360736,0.353115,0.00333685,1.79,0.434774,-0.350624,-0.350624,0.150871,-0.150834,2.79E-05,0.00044097,0.0003635
30261,0.212971,0.211814,0.00637478,1.8,0.434774,0,0,0.151666,-0.151594,2.79E-05,0.000865474,0.0003635
30271,-0.0363276,0.242829,0.00661951,1.81,0.434774,0.350624,0,0.151666,-0.151655,2.79E-05,0.000136375,0.0003635
