QGPIORecord, QRC v6.1.0, 23-12-2021 @ 15:27:47, Windows 10 Version 2009, 10.0.22000, x86_64
Time, desiredVelocityCart, VoltA, uA, P13, P22, P23, P33, x1, x2, x3, y1, y2
25664, 0.347949, 6.25207, 6.25207, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0933451, -0.197821, 0.32656, 0.0897878, -0.218038
25674, 0.335664, 5.32401, 5.32401, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0968631, -0.21119, 0.321545, 0.0936061, -0.230322
25683, 0.323159, 4.86552, 4.86552, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.100513, -0.222944, 0.319811, 0.0975401, -0.24107
25694, 0.311011, 4.62641, 4.62641, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.104074, -0.23348, 0.319985, 0.101243, -0.251819
25704, 0.299318, 4.34929, 4.34929, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.107534, -0.242558, 0.322187, 0.10483, -0.261032
25714, 0.288235, 4.14408, 4.14408, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.11089, -0.248841, 0.32864, 0.108301, -0.265638
25723, 0.277876, 3.66193, 3.66193, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.114142, -0.252539, 0.338123, 0.111656, -0.268709
25734, 0.268203, 3.72239, 3.72239, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.117362, -0.253277, 0.350747, 0.115012, -0.268709
25744, 0.259466, 3.27968, 3.27968, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.120506, -0.250239, 0.367459, 0.118252, -0.264103
25754, 0.251828, 3.13848, 3.13848, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.123562, -0.243461, 0.387359, 0.121376, -0.256425
25763, 0.245553, 3.27355, 3.27355, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.126454, -0.23306, 0.409578, 0.124268, -0.245677
25774, 0.240811, 3.56554, 3.56554, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.129156, -0.21859, 0.434499, 0.126929, -0.230322
25784, 0.23734, 3.40118, 3.40118, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.131798, -0.200923, 0.459818, 0.129591, -0.213432
25794, 0.235171, 3.4766, 3.4766, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.134359, -0.180778, 0.483975, 0.132136, -0.195006
25804, 0.234303, 3.68407, 3.68407, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.13683, -0.158119, 0.50717, 0.134566, -0.173509
25814, 0.234536, 3.65668, 3.65668, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.139278, -0.133491, 0.528424, 0.136996, -0.150477
25824, 0.235708, 3.35848, 3.35848, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.141726, -0.107888, 0.546062, 0.139426, -0.127445
