QGPIORecord, QRC v6.1.0, x86_64, Windows 10 Version 2009,, 22-12-2021 @ 11:14:12, 10.0.19042,,,,,,
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
129934,0,1.01E-05,0,4.33E-05,2.05E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129944,0,1.01E-05,0,4.33E-05,2.05E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129953,0,1.01E-05,0,4.33E-05,2.05E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129964,0,1.01E-05,0,4.33E-05,2.06E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129974,0,1.01E-05,0,4.33E-05,2.06E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129984,0,1.01E-05,0,4.33E-05,2.06E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129993,0,1.01E-05,0,4.33E-05,2.06E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
130003,0,1.01E-05,0,4.33E-05,2.07E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
130014,0,1.01E-05,0,4.33E-05,2.07E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
130024,0,1.01E-05,0,4.33E-05,2.07E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
130033,0,1.01E-05,0,4.33E-05,2.08E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
130043,0,1.01E-05,0,4.33E-05,2.08E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
130054,0,1.01E-05,0,4.33E-05,2.08E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
130064,0,1.01E-05,0,4.33E-05,2.08E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
130074,0,1.01E-05,0,4.33E-05,2.09E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
130083,0,1.01E-05,0,4.33E-05,2.09E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
130094,0,1.01E-05,0,4.33E-05,2.09E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
130104,0,1.01E-05,0,4.33E-05,2.09E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
130114,0,1.01E-05,0,4.33E-05,2.10E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
130123,0,1.01E-05,0,4.33E-05,2.10E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
130134,0,1.01E-05,0,4.33E-05,2.10E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
130145,0,1.01E-05,0,4.33E-05,2.11E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
130154,0,1.01E-05,0,4.33E-05,2.11E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
130164,0.0229582,1.01E-05,0,4.33E-05,2.11E-05,0,0.000386342,0.00992803,0.000229582,-0.00465138,0.0122838,0.000231412
130173,0.0459165,1.01E-05,0,4.33E-05,2.11E-05,0,0.000386342,0.00754665,0.000688747,-0.000523072,0.0122838,0.000231412
130184,0.0688747,1.01E-05,0,4.33E-05,2.12E-05,0,0.000386342,0.00532253,0.00137749,0.00899647,0.0122838,0.000347118
