QGPIORecord, QRC v6.1.0, 21-12-2021 @ 20:11:48, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
16344, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16354, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16364, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16373, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16384, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16394, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16404, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16413, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16423, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16434, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16444, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16453, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16463, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16474, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16484, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16494, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16503, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16514, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
