QGPIORecord, QRC v6.1.0, 21-12-2021 @ 19:50:32, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2
62843, 0, -0.000231412, 0.0768624, 0.0420108, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0721676
62854, 0, -0.000231412, 0.0801379, 0.0342792, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.076774
62864, 0, -0.000231412, 0.0826573, 0.0257833, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.079845
62874, 0, -0.000231412, 0.083819, 0.0149092, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0813805
62883, 0, -0.000231412, 0.0843764, 0.00473069, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0829159
62894, 0, -0.000231412, 0.0848042, -0.00338416, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0844514
62904, 0, -0.000231412, 0.0842906, -0.0124676, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0844514
62914, 0, -0.000231412, 0.0834119, -0.0203881, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0844514
62923, 0, -0.000231412, 0.0814483, -0.029645, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0829159
62934, 0, -0.000231412, 0.0790466, -0.037782, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0813805
62944, 0, -0.000231412, 0.075534, -0.0471328, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0783095
62954, 0, -0.000231412, 0.072651, -0.0518571, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.076774
62963, 0, -0.000231412, 0.0681966, -0.0600312, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0721676
62973, 0, -0.000231412, 0.0640531, -0.0647719, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0690966
62984, 0, -0.000231412, 0.0592118, -0.0701089, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0644902
62994, 0, -0.000231412, 0.0541095, -0.0744622, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0598837
63004, 0, -0.000231412, 0.0490057, -0.0772412, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0552773
63013, 0, -0.000231412, 0.0440263, -0.0784422, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0506709
