QGPIORecord, QRC v6.1.0, 21-12-2021 @ 20:27:20, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
32784, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.338959, 0.12851, -0.684279, 0.346539, 0.124374
32794, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.331332, 0.137856, -0.68589, 0.338903, 0.133587
32804, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.323802, 0.145915, -0.692031, 0.331382, 0.141264
32815, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.316174, 0.154288, -0.696465, 0.323745, 0.150477
32825, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.308538, 0.16076, -0.706552, 0.316109, 0.156619
32834, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.300796, 0.165136, -0.721313, 0.308356, 0.161225
32844, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.293044, 0.168499, -0.736005, 0.300604, 0.165832
32855, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.285398, 0.169427, -0.754987, 0.292968, 0.167367
32865, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.277867, 0.168203, -0.776068, 0.285447, 0.167367
32874, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.270239, 0.166154, -0.794379, 0.27781, 0.167367
32884, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.262497, 0.163007, -0.811376, 0.270058, 0.165832
32894, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.254958, 0.158563, -0.827901, 0.262537, 0.162761
32905, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.247329, 0.152694, -0.844341, 0.2549, 0.158154
32914, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.239693, 0.145329, -0.860795, 0.247264, 0.152013
32924, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.232163, 0.137506, -0.87388, 0.239743, 0.145871
32934, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.224535, 0.128745, -0.885882, 0.232106, 0.138193
32945, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.216899, 0.118717, -0.898003, 0.22447, 0.12898
32954, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.209263, 0.108292, -0.907375, 0.216833, 0.119767
32964, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.201732, 0.0968986, -0.916424, 0.209312, 0.109019
32974, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.194105, 0.0841682, -0.926284, 0.201676, 0.0967353
32985, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.186469, 0.0720304, -0.930601, 0.194039, 0.0859869
32995, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.178938, 0.0594483, -0.934045, 0.186518, 0.0737031
33004, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.171522, 0.0457339, -0.938934, 0.179113, 0.0598837
33014, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.163904, 0.0315584, -0.942704, 0.171476, 0.0460644
33025, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.156375, 0.0183964, -0.940988, 0.163955, 0.0337806
33035, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.148748, 0.00491448, -0.939403, 0.156319, 0.0199612
33044, -0.757576, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.141218, -0.00867576, -0.937227, 0.148798, 0.00614192
33054, -0.734618, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.13382, -0.0230099, -0.930888, 0.141161, -0.00614192
33064, -0.711659, 3.04318e-08, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.126433, -0.0383068, -0.922028, 0.133525, -0.0199612
