QGPIORecord, QRC v6.1.0, 23-12-2021 @ 01:40:52, Windows 10 Version 2009, 10.0.22000, x86_64
Time, trajectoryV, VoltA, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
22254, 0, 66.5223, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.211905, -0.100361, 0.597933, 0.211279, -0.141264
22264, 0, 67.2382, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.213698, -0.0626412, 0.605888, 0.213015, -0.102877
22274, 0, 67.4343, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.21526, -0.0224206, 0.612951, 0.214519, -0.0614192
22284, 0, 67.1905, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.216762, 0.0202295, 0.619306, 0.216023, -0.0168903
22294, 0, 66.9821, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.218261, 0.0653508, 0.625196, 0.217527, 0.0307096
22304, 0, 66.8789, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.219793, 0.111663, 0.628522, 0.219031, 0.0783095
22313, 0, 67.4473, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.22124, 0.158743, 0.629427, 0.220304, 0.127445
22324, 0, 68.2751, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.222573, 0.205007, 0.626104, 0.221346, 0.175045
22334, 0, 68.5312, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.223979, 0.249492, 0.618092, 0.222503, 0.221109
22344, 0, 68.8682, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.225513, 0.29168, 0.605749, 0.223775, 0.265638
22353, 0, 69.3266, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.227197, 0.330701, 0.588719, 0.225164, 0.307096
22364, 0, 69.9043, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.228965, 0.366003, 0.567384, 0.226552, 0.345483
22374, 0, 70.5456, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.230989, 0.396827, 0.541444, 0.228288, 0.379264
22384, 0, 70.7187, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.233258, 0.422727, 0.51124, 0.230255, 0.408438
22393, 0, 71.1039, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.235757, 0.443531, 0.477493, 0.232453, 0.433005
22404, 0, 71.207, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.238538, 0.459318, 0.441072, 0.234999, 0.452967
22414, 0, 71.1904, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.241609, 0.470286, 0.402778, 0.237891, 0.468322
22424, 0, 71.6057, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.244773, 0.476513, 0.363244, 0.240784, 0.47907
22434, 0, 72.0196, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.24816, 0.47757, 0.32188, 0.244024, 0.483676
