QGPIORecord, QRC v6.1.0, 22-12-2021 @ 16:31:35, Windows 10 Version 2009, 10.0.22000, x86_64
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
14086, 0.711659, 4.51076e-09, 0, 0, 4.58318e-06, 1.06071e-05, 5.65855e-05, 0.373342, 0.126922, 0.997443, 0.366325, 0.0998062
14095, 0.688701, 4.51076e-09, 0, 0, 4.58095e-06, 1.05421e-05, 5.63044e-05, 0.380612, 0.149095, 0.977733, 0.373962, 0.119767
14105, 0.665743, 4.51076e-09, 0, 0, 4.57835e-06, 1.0484e-05, 5.60583e-05, 0.387736, 0.170214, 0.952911, 0.381367, 0.138193
14115, 0.642785, 4.51076e-09, 0, 0, 4.57564e-06, 1.04341e-05, 5.58494e-05, 0.394518, 0.190288, 0.923936, 0.388309, 0.156619
14126, 0.619826, 4.51076e-09, 0, 0, 4.57292e-06, 1.0393e-05, 5.56797e-05, 0.401098, 0.208799, 0.890661, 0.395136, 0.173509
14135, 0.596868, 4.51076e-09, 0, 0, 4.57044e-06, 1.03609e-05, 5.55474e-05, 0.40753, 0.226003, 0.854439, 0.401847, 0.1904
14145, 0.57391, 4.51076e-09, 0, 0, 4.56837e-06, 1.03373e-05, 5.54483e-05, 0.413904, 0.242165, 0.816387, 0.408558, 0.20729
14155, 0.550975, 4.51076e-09, 0, 0, 4.56699e-06, 1.03211e-05, 5.53749e-05, 0.419971, 0.258126, 0.778454, 0.414806, 0.225716
14166, 0.528017, 4.51076e-09, 0, 0, 4.56626e-06, 1.03109e-05, 5.53217e-05, 0.425849, 0.27397, 0.740817, 0.420938, 0.244141
14175, 0.505058, 4.51076e-09, 0, 0, 4.56587e-06, 1.03056e-05, 5.52871e-05, 0.431512, 0.289162, 0.702518, 0.426839, 0.261032
14185, 0.4821, 4.51076e-09, 0, 0, 4.56567e-06, 1.03047e-05, 5.52702e-05, 0.436878, 0.30389, 0.664105, 0.432393, 0.277922
14195, 0.459142, 4.51076e-09, 0, 0, 4.56571e-06, 1.03075e-05, 5.52679e-05, 0.441987, 0.318909, 0.627038, 0.437716, 0.296348
14205, 0.436184, 4.51076e-09, 0, 0, 4.56579e-06, 1.03136e-05, 5.52804e-05, 0.446927, 0.33361, 0.59002, 0.442923, 0.313238
14215, 0.413225, 4.51076e-09, 0, 0, 4.56586e-06, 1.03229e-05, 5.53078e-05, 0.451659, 0.348109, 0.553324, 0.447898, 0.330128
14225, 0.390267, 4.51076e-09, 0, 0, 4.56578e-06, 1.03355e-05, 5.53516e-05, 0.456098, 0.361899, 0.516055, 0.452526, 0.345483
14235, 0.367309, 4.51076e-09, 0, 0, 4.56539e-06, 1.03516e-05, 5.54154e-05, 0.460281, 0.373997, 0.476649, 0.456923, 0.357767
14245, 0.344351, 4.51076e-09, 0, 0, 4.56489e-06, 1.03716e-05, 5.5498e-05, 0.464223, 0.385459, 0.437558, 0.461088, 0.371586
14255, 0.321392, 4.51076e-09, 0, 0, 4.56428e-06, 1.03953e-05, 5.55999e-05, 0.467931, 0.395344, 0.397134, 0.465022, 0.382335
14265, 0.298434, 4.51076e-09, 0, 0, 4.56365e-06, 1.04228e-05, 5.57198e-05, 0.471478, 0.404134, 0.356645, 0.468841, 0.393083
14275, 0.275476, 4.51076e-09, 0, 0, 4.56299e-06, 1.04537e-05, 5.58571e-05, 0.474891, 0.411033, 0.314789, 0.472543, 0.40076
14285, 0.252518, 4.51076e-09, 0, 0, 4.56237e-06, 1.04877e-05, 5.60097e-05, 0.478039, 0.416641, 0.273078, 0.475899, 0.408438
14295, 0.229559, 4.51076e-09, 0, 0, 4.56184e-06, 1.05244e-05, 5.61756e-05, 0.480871, 0.420857, 0.231437, 0.478907, 0.41458
14305, 0.206601, 4.51076e-09, 0, 0, 4.56132e-06, 1.05634e-05, 5.63533e-05, 0.48344, 0.423016, 0.188769, 0.481684, 0.417651
14315, 0.183666, 4.51076e-09, 0, 0, 4.56087e-06, 1.06041e-05, 5.65406e-05, 0.485764, 0.423816, 0.146713, 0.48423, 0.420722
14325, 0.160708, 4.51076e-09, 0, 0, 4.56046e-06, 1.06461e-05, 5.67356e-05, 0.487925, 0.422632, 0.104124, 0.486659, 0.420722
