QGPIORecord, QRC v6.1.0, 11-11-2021 @ 19:01:42, Windows 10 Version 1903, 10.0.18362, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
215200, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215211, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215220, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215230, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215240, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215250, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215260, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215270, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215280, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215290, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215301, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215310, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215320, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215330, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215341, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215350, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215360, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215370, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215380, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215390, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215400, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215410, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215420, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215430, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215440, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215450, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215460, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215471, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215480, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215490, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215500, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215511, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215520, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215530, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215540, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215550, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215560, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215570, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215580, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215590, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215600, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215610, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215620, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215630, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215641, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215650, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215660, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215670, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215681, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215690, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215700, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215710, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215720, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215730, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215740, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215750, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215760, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215770, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215780, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215790, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215800, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215811, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215820, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215830, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215840, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215851, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215860, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215870, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215880, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215890, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215900, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215910, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215920, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215930, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215941, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215950, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215960, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215970, 0, -33.5933, -33.0568, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215981, 0, -32.7939, -32.2679, 0, 0, 0.197167, 0, 0, 0, 0, 0, 0
215990, -12, -32.7939, -32.2679, 0, 0, 0.195777, 0, 0, 0, 0, 0, 0
216000, -12, -32.8675, -32.3416, -7.37012, -7.67867, 0.195777, 0, 0, 0, 0, 0, 0
216010, -12, -33.0323, -32.5099, -16.4583, -16.8089, 0.197167, 0, 0, 0, 0, 0, 0
216020, -12, -33.2427, -32.7202, -21.3705, -21.0445, 0.197167, 0, 0, 0, 0, 0, 0
216031, -12, -33.4776, -32.9587, -23.4918, -23.4988, 0.197167, 0, 0, 0, 0, 0, 0
216040, -12, -33.723, -33.2041, -24.5437, -24.8417, 0.177169, -0.00153548, 0, 0, 0, 0, 0
216050, -12, -33.9755, -33.4531, -25.2449, -24.9329, 0.197167, 0, 0, 0, 0, 0, 0
216060, -12, -34.2314, -33.709, -25.6131, -25.564, 0.197167, 0, 0, 0, 0, 0, 0
216071, -12, -34.4909, -33.965, -25.543, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216080, -12, -34.7469, -34.2209, -25.6657, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216090, -12, -35.0063, -34.4769, -25.9357, -25.6236, 0.197167, 0, 0, 0, 0, 0, 0
216100, -12, -35.2623, -34.7328, -25.9252, -25.585, 0.197167, 0, 0, 0, 0, 0, 0
216111, -12, -35.5217, -34.9923, -25.9357, -25.9041, 0.197167, 0, 0, 0, 0, 0, 0
216120, -12, -35.7812, -35.2482, -25.9252, -25.6236, 0.197167, 0, 0, 0, 0, 0, 0
