QGPIORecord, QRC v6.1.0, 30-11-2021 @ 01:15:34, Windows 10 Version 1903, 10.0.18362, x86_64,,,,,,,
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
21620,6,6,17.5698,17.4997,12.6365,12.6365,0.127219,0,1.43,0,0,0
21630,6,6,17.696,17.6259,12.626,12.2859,0.127219,0,1.44,0,0,0
21641,6,6,17.8222,17.7521,12.612,12.612,0.127219,0,1.45,0,0,0
21650,6,6,17.9485,17.8783,12.626,12.6225,0.127219,0,1.46,0,0,0
21660,6,6,18.0747,18.001,12.612,12.6295,0.127219,0,1.47,0,0,0
21670,6,6,18.2009,18.1273,12.626,12.6225,0.127219,0,1.48,0,0,0
21681,6,6,18.3271,18.2535,12.6225,12.2754,0.127219,0,1.49,0,0,0
21690,6,6,18.4498,18.3762,12.612,12.6049,0.127768,0,1.5,0,0,0
21700,6,6,18.5796,18.5024,12.64,12.6295,0.127768,0,1.51,0,0,0
21710,6,6,18.7023,18.6287,12.6155,12.2754,0.127219,0,1.52,0,0,0
21721,6,6,18.8285,18.7549,12.2754,12.626,0.115004,0,1.53,0,0,0
21730,6,6,18.9547,18.8811,12.9626,12.612,0.127219,0,1.54,0,0,0
21740,6,6,19.081,19.0038,12.2754,12.626,0.127219,0,1.55,0,0,0
21750,6,6,19.2072,19.1301,12.945,12.5944,0.127219,0,1.56,0,0,0
21761,6,6,19.3334,19.2563,12.2859,12.2859,0.127219,0,1.57,0,0,0
21771,6,6,19.4596,19.3825,12.6014,12.6049,0.127219,0,1.58,0,0,0
21780,6,6,19.5859,19.5052,12.64,12.6225,0.127219,0,1.59,0,0,0
21790,6,6,19.7121,19.6314,12.6225,12.6295,0.127219,0,1.6,0,0,0
21800,6,6,19.8383,19.7577,12.626,12.2789,0.127219,0,1.61,0,0,0
21811,6,6,19.9645,19.8804,12.6014,12.6049,0.127219,0,1.62,0,0,0
21820,6,6,20.0873,20.0066,12.626,12.6155,0.127219,0,1.63,0,0,0
21830,6,6,20.217,20.1328,12.6225,12.2789,0.127219,0,1.64,0,0,0
21840,6,6,20.3397,20.2556,12.2964,12.6225,0.127219,0,1.65,0,0,0
21851,6,6,20.4659,20.3818,12.6225,12.6225,0.127768,0,1.66,0,0,0
